Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11/18/2022 17:35:26,Noah B - Sisco#71800,Johnny M - Johnny#69519,2-0,,1,,,
11/18/2022 17:47:36,Trevor T - Sirtydanchez#87149,Rafael F - Prudent#24319,2-1,,1,,,
11/18/2022 17:57:59,Chris F - cferejohn#08269,Emmett F - Sepulchure#51526,2-0,,1,,,
11/18/2022 18:03:29,Eric S - Smitte#94855,Richard K - preacher26#59445,2-1,,1,,,
11/18/2022 18:10:03,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-1,,1,,,
11/18/2022 18:16:52,Dan A - BEATDOWNBRINGA#04779,Robby P - Locke_009#22200,2-0,,1,,,
11/18/2022 18:40:17,Caleb G - Whynaut#28590,Emmett F - Sepulchure#51526,2-0,,1,,,
11/18/2022 18:49:04,Ryan D - TheSlickness#10857,Chris F - cferejohn#08269,2-1,,1,,,
11/18/2022 18:56:11,Lotte P - Lotte #93345,Aus Z - ImperialPlaneswalker#40420,2-1,,1,,,
11/18/2022 19:03:57,Damian S - ButCrackMagic#71223,Trevor T - Sirtydanchez#87149,2-0,,1,,,
11/18/2022 19:04:26,Caleb G - Whynaut#28590,Kevin I - kni1993#29285,2-0,,1,,,
11/18/2022 19:43:13,Aus Z - ImperialPlaneswalker#40420,Pierre-Marc D - pmduguay#67919,2-0,,1,,,
11/18/2022 19:46:26,Caleb G - Whynaut#28590,John P - gokuorgohome#51511,2-0,,1,,,
11/18/2022 19:50:03,Daniel G - Friskyhobbit#43185,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
11/18/2022 19:56:28,Emmett F - Sepulchure#51526,Sawyer T - soyboy#35469,2-0,,1,,,
11/18/2022 20:16:35,Jordan M - JMTron#46639,Damian S - ButCrackMagic#71223,2-1,,1,,,
11/18/2022 20:35:49,John P - gokuorgohome#51511,Kyle W - EtherEngineer#51748,2-1,,1,,,
11/18/2022 20:37:03,Pierre-Marc D - pmduguay#67919,Daniel G - Friskyhobbit#43185,2-1,,1,gg,,
11/18/2022 20:52:29,James T - RevisedIsland#19780,Dante R - dantesper#59172,2-0,,1,,,
11/18/2022 20:55:39,Kyle W - EtherEngineer#51748,Kevin I - kni1993#29285,2-1,,1,,,
11/18/2022 21:07:57,Richard K - preacher26#59445,Robby P - Locke_009#22200,2-0,,1,,,
11/18/2022 21:12:05,Johnny M - Johnny#69519,Pierre-Marc D - pmduguay#67919,2-0,,1,Resubmit,,
11/18/2022 21:15:55,Kyle W - EtherEngineer#51748,Aus Z - ImperialPlaneswalker#40420,2-0,,1,,,
11/18/2022 21:44:04,Daniel G - Friskyhobbit#43185,Johnny M - Johnny#69519,2-0,,1,,,
11/18/2022 21:50:24,James T - RevisedIsland#19780,Cody-Rayce MG - Rayce#56572,2-0,,1,,,
11/18/2022 21:54:20,Eric S - Smitte#94855,Nicholas K - Bionick#55161,2-1,,1,,,
11/18/2022 21:58:47,Aus Z - ImperialPlaneswalker#40420,Kevin I - kni1993#29285,2-1,,1,,,
