Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
,,,,,,,,,,,,
4/8/2022 18:25:54,Maxime R - Tasigurr#89921,Damian S - ButCrackMagic#71223,2-0,,1,,,,,,,
4/8/2022 18:30:55,Ryan D - TheSlickness#10857,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,,
4/8/2022 18:53:11,Maxime R - Tasigurr#89921,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
4/8/2022 19:06:36,Johnny M - Johnny#69519,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,
4/8/2022 19:09:19,Justin P - Code Pigeon#84057,Cody-Rayce M-G - Rayce#56572,2-1,,1,,,,,,,
4/8/2022 19:15:11,Daniel J - Insequent#82225,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,
4/8/2022 19:23:50,Justin P - Code Pigeon#84057,Maxime R - Tasigurr#89921,2-0,,1,,,,,,,
4/8/2022 19:47:47,Pierre-Marc D - pmduguay#67919,Justin P - Code Pigeon#84057,2-1,,1,,,,,,,
4/8/2022 20:04:09,Maxime R - Tasigurr#89921,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,
4/8/2022 20:16:14,Andrew A - Mapo Dofu#77365,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,,
4/8/2022 20:49:48,Caleb G - Whynaut#28590,Richard K - preacher26#59445,2-1,,1,,,,,,,
4/8/2022 20:56:17,Steve T - strout#45062,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,,
4/8/2022 21:08:21,Daniel J - Insequent#82225,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,
4/8/2022 21:25:53,Maxime R - Tasigurr#89921,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,,
4/8/2022 21:35:36,Maranda L - BlackCanary#59791,Caleb G - Whynaut#28590,2-1,,1,,,,,,,
4/8/2022 21:59:58,Steve T - strout#45062,Olivier F - NephilimOli#21523,2-1,,1,,,,,,,
4/8/2022 22:10:21,Johnny M - Johnny#69519,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,,
4/9/2022 0:19:58,Steve T - strout#45062,Michael M - Atombomb11991#07305,2-1,,1,,,,,,,
4/9/2022 1:11:48,Johnny M - Johnny#69519,Daniel M - HPWizard#40332,2-1,,1,,,,,,,
4/9/2022 2:07:35,Patrick M - FullestJ#22936,Michael M - Atombomb11991#07305,2-1,,1,,,,,,,
4/9/2022 10:01:11,Chris Y - Yorke on Games#66909,Patrick M - FullestJ#22936,2-0,,1,,,,,,,
4/9/2022 10:53:23,Chris Y - Yorke on Games#66909,Sean L - dankesean#67393,2-1,,1,Tiiiiight games,,,,,,
4/9/2022 14:15:14,John P - gokuorgohome#51511,Nik S - njsiii#50504,2-1,,1,,,,,,,
4/9/2022 14:46:39,Nik S - njsiii#50504,Tony G - YnotRock#76764,2-0,,1,,,,,,,
4/9/2022 14:58:45,Chris R - Sinkwater#27508,Olivier F - NephilimOli#21523,2-0,,1,,,,,,,
4/9/2022 15:11:16,Steve T - strout#45062,Richard K - preacher26#59445,2-0,,1,,,,,,,
4/9/2022 15:39:49,Ryan D - TheSlickness#10857,John P - gokuorgohome#51511,2-0,,1,,,,,,,
4/9/2022 16:48:52,Joseph H - JoCool#84350,John P - gokuorgohome#51511,2-0,,1,,,,,,,
4/9/2022 17:07:15,Caleb G - Whynaut#28590,Russell S - rstad#89052,2-1,,1,,,,,,,
4/9/2022 17:28:08,Joseph H - JoCool#84350,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,,
4/9/2022 18:08:29,Nik S - njsiii#50504,Coleman N - avo#92320,2-0,,1,,,,,,,
4/9/2022 19:13:26,Ryan W - MuttBunchies#61653,Daniel J - Insequent#82225,2-0,,1,,,,,,,
4/9/2022 19:36:36,Robby P - Locke_009#22200,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,,
4/9/2022 20:38:58,Russell S - rstad#89052,Patrick M - FullestJ#22936,2-1,,1,Liesa!,,,,,,
4/9/2022 21:32:11,Adam S - wizma#29010,Zeke W - smarmyplatapus#30066,2-1,,1,Great games! Sorry about Clone Olivia!,,,,,,
4/9/2022 21:34:36,Maranda L - BlackCanary#59791,Cody-Rayce M-G - Rayce#56572,2-0,,1,,,,,,,
4/9/2022 22:08:25,Andrew A - Mapo Dofu#77365,Sean L - dankesean#67393,2-0,,1,,,,,,,
4/9/2022 22:39:25,Mitchel S - SpaghettiMitch#18619,Christopher G - oompaloompa#65002,2-1,,1,,,,,,,
4/9/2022 23:00:52,Sean L - dankesean#67393,Cody-Rayce M-G - Rayce#56572,2-1,,1,,,,,,,
4/9/2022 23:39:16,Sean L - dankesean#67393,Steve T - strout#45062,2-1,,1,,,,,,,
4/10/2022 0:15:58,Patrick M - FullestJ#22936,Christopher G - oompaloompa#65002,2-1,,1,,,,,,,
4/10/2022 0:59:31,Mitchel S - SpaghettiMitch#18619,Jaidin M - MnemonicDevice#38774,2-0,,1,(pack was manually generated),,,,,,
4/10/2022 10:04:53,Nick L - ironick#50169,Ryan W - MuttBunchies#61653,2-0,,,,,,,,,
4/10/2022 11:24:05,Jordan P - chunkieluver53#92811,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,,
4/10/2022 12:51:05,Patrick M - FullestJ#22936,Shuo L - Tamamo#30654,2-0,,1,,,,,,,
4/10/2022 13:59:56,Maranda L - BlackCanary#59791,Zeke W - smarmyplatapus#30066,2-1,,1,,,,,,,
4/10/2022 14:08:29,Shuo L - Tamamo#30654,Adam S - wizma#29010,2-0,,1,,,,,,,
4/10/2022 14:38:25,John P - gokuorgohome#51511,Sawyer T - soyboy#35469,2-1,,1,,,,,,,
4/10/2022 15:37:48,Robby P - Locke_009#22200,Jordan P - chunkieluver53#92811,2-1,,1,,,,,,,
4/10/2022 16:24:14,Shuo L - Tamamo#30654,Joel L - Instinctive#21903,2-0,,1,,,,,,,
4/10/2022 16:25:21,Coleman N - avo#92320,Ryan W - MuttBunchies#61653,2-0,,1,,,,,,,
4/10/2022 17:05:45,Jordan P - chunkieluver53#92811,John L - fightstrife#66069,2-1,,1,,,,,,,
4/10/2022 17:43:27,Cody-Rayce M-G - Rayce#56572,Russell S - rstad#89052,2-1,,1,ggs,,,,,,
4/10/2022 17:46:18,John L - fightstrife#66069,Robby P - Locke_009#22200,2-1,,1,ggs!,,,,,,
4/10/2022 18:02:01,Jordan P - chunkieluver53#92811,Richard K - preacher26#59445,2-1,,1,,,,,,,
