Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2/18/2022 18:24:07,Damian S - ButCrackMagic#71223,Cody-Rayce MG - Rayce#56572,2-1,,,,,,,,,
2/18/2022 18:30:28,Chris P - Joker01#66827,Justin P - Code Pigeon#84057,2-1,,1,,,,,,,
2/18/2022 18:51:10,Doug C - dougisacat#58521,Theo M - theopolist#91798,2-1,,,reality chip,,,,,,
2/18/2022 19:06:38,Russell S - rstad#89052,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,,
2/18/2022 19:08:58,Daniel J - Insequent#82225,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,,
2/18/2022 19:22:26,Jay S - Trainyaj#13755,Dante R - dantesper#59172,2-1,,,"First match, so hopefully I did this right",,,,,,
2/18/2022 19:27:53,Justin P - Code Pigeon#84057,Olivier F - NephilimOli#21523,2-1,,,,,,,,,
2/18/2022 19:30:16,Aus Z - ImperialPlaneswalker#40420,Gabriel L - gabeisgunk#67806,2-0,,1,,,,,,,
2/18/2022 19:33:02,Damian S - ButCrackMagic#71223,Joe T - elasticity#07466,2-1,,1,,,,,,,
2/18/2022 19:35:03,Emmett F - Sepulchure#51526,Robby P - Locke_009#22200,2-1,,1,,,,,,,
2/18/2022 19:42:43,Daniel J - Insequent#82225,Russell S - rstad#89052,2-0,,1,,,,,,,
2/18/2022 19:43:30,Cody-Rayce MG - Rayce#56572,Chris Y - Yorke on Games#66909,2-0,,1,ggs,,,,,,
2/18/2022 19:54:49,Theo M - theopolist#91798,Shane K - Malfunction#68287,2-0,,1,,,,,,,
2/18/2022 19:58:45,Jay S - Trainyaj#13755,Joseph H - JoCool#84350,2-0,,1,,,,,,,
2/18/2022 20:06:38,Mitchel S - SpaghettiMitch#18619,Justin P - Code Pigeon#84057,2-0,,,,,,,,,
2/18/2022 20:16:15,Andrew A - Mapo Dofu#77365,Joe T - elasticity#07466,2-0,,1,,,,,,,
2/18/2022 20:17:21,Damian S - ButCrackMagic#71223,Daniel J - Insequent#82225,2-1,,1,,,,,,,
2/18/2022 20:18:37,Cody-Rayce MG - Rayce#56572,Matt Z - frank_sausage#54739,2-0,,1,ggs,,,,,,
2/18/2022 20:35:30,Gordon C - Chocobro#30910,Coleman N - avo#92320,2-0,,1,,,,,,,
2/18/2022 20:36:27,Krzys H - FaceBeardMcBeard#24731,Russell S - rstad#89052,2-1,,,Come on Jin Gat ax!,,,,,,
2/18/2022 20:42:52,Shuo L - Tamamo#30654,Theo M - theopolist#91798,2-1,,1,,,,,,,
2/18/2022 20:51:44,Damian S - ButCrackMagic#71223,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,,
