Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
,,,,,,,,
,,,,,,,,
,,,,,,,,
10/28/2022 17:25:23,Jaidin M - MnemonicDevice#38774,Robby P - Locke_009#22200,2-0,,1,Here's to a good pack!,,
10/28/2022 17:51:29,Jordan M - JMTron#46639,Raghu B - Midnitfalcon#19670,2-1,,1,,,
10/28/2022 18:57:02,Sawyer T - soyboy#35469,Robby P - Locke_009#22200,2-0,,1,,,
10/28/2022 19:04:51,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-0,,1,,,
10/28/2022 19:20:45,Jaidin M - MnemonicDevice#38774,Christopher G - oompaloompa#65002,2-0,,1,,,
10/28/2022 19:52:14,Daniel G - Friskyhobbit#43185,Jaidin M - MnemonicDevice#38774,2-1,,1,,,
10/28/2022 19:56:50,Robby P - Locke_009#22200,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
10/28/2022 20:24:36,Chris Y - Yorke on Games#66909,Robby P - Locke_009#22200,2-1,,1,Yorvo vs Yorko,,
10/28/2022 20:25:53,Nicholas P - Ami3vil?#84889,Emmett F - Sepulchure#51526,2-0,,1,GGs!,,
10/28/2022 20:58:57,Kevin I - kni1993#29285,Zeke W - smarmyplatapus#30066,2-0,,1,Ggs,,
10/28/2022 21:04:33,Oskar T - ossytubbi#87966,Nicholas P - Ami3vil?#84889,2-0,,1,,,
10/28/2022 21:11:38,Dan A - BEATDOWNBRINGA#04779,Daniel G - Friskyhobbit#43185,2-1,,1,,,
10/28/2022 21:33:42,John P - gokuorgohome#51511,Chris Y - Yorke on Games#66909,2-0,,1,,,
10/28/2022 21:48:12,Maranda L - BlackCanary#59791,Daniel G - Friskyhobbit#43185,2-0,,1,,,
10/28/2022 22:27:45,Daniel J - Insequent#82225,Dan K - Fizishy#82483,2-1,,1,,,
10/28/2022 22:29:21,Daniel G - Friskyhobbit#43185,Noah B - Sisco#71800,2-1,,1,,,
10/28/2022 23:19:02,Daniel G - Friskyhobbit#43185,Emmett F - Sepulchure#51526,2-1,,1,,,
10/28/2022 23:43:49,Chris Y - Yorke on Games#66909,David S - SirLossore#88647,2-0,,1,DOM DA DOM DOM DOM,,
10/28/2022 23:59:35,Maranda L - BlackCanary#59791,Jeremy E - Lhurgoyf#37289,2-0,,1,,,
10/29/2022 0:21:03,Maxime R - Tasigurr#89921,Steve T - strout#45062,2-0,,1,,,
10/29/2022 0:32:33,Chris Y - Yorke on Games#66909,Rafael F - Prudent#24319,2-0,,1,Enchantments Under the Sea,,
10/29/2022 0:51:19,David S - SirLossore#88647,Zeke W - smarmyplatapus#30066,2-0,,1,,,
10/29/2022 1:26:29,Dan A - BEATDOWNBRINGA#04779,Caleb G - Whynaut#28590,2-1,,1,,,
10/29/2022 1:43:22,Maxime R - Tasigurr#89921,Damian S - ButCrackMagic#71223,2-1,,1,,,
10/29/2022 4:01:03,Paul G - TheDragon#61289,David S - SirLossore#88647,2-1,,1,,,
10/29/2022 9:16:44,David S - SirLossore#88647,Kevin I - kni1993#29285,2-1,,1,,,
