Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes
,,,,,,
5/6/2022 17:28:55,Oskar T - ossytubbi#87966,Justin P - Code Pigeon#84057,2-0,,1,
5/6/2022 17:31:56,Mats K - MakroGames#12872,Martin E - Meep#87492,2-0,,1,
5/6/2022 17:36:02,Damian S - ButCrackMagic#71223,Chris Y - Yorke on Games#66909,2-0,,1,11-1
5/6/2022 17:53:26,Emmett F - Sepulchure#51526,Sawyer T - soyboy#35469,2-0,,1,
5/6/2022 18:01:10,Shane K - Malfunktion#31013,Krzys H - FaceBeardMcBeard#24731,2-0,,1,
5/6/2022 18:02:47,Oskar T - ossytubbi#87966,David R - Roooster#49289,2-0,,1,
5/6/2022 18:05:10,Mike G - eatmecompletely#43399,Brian H - Brinbrin#59708,2-0,,1,
5/6/2022 18:05:43,Chris P - Joker01#66827,Nik S - njs#50504,2-1,,1,
5/6/2022 18:30:27,Chris Y - Yorke on Games#66909,Steve T - strout#45062,2-0,,1,Killed me a Don!!!
5/6/2022 18:39:20,Cody-Rayce MG - Rayce#56572,Michael M - Atombomb11991#07305,2-1,,1,ggs wp
5/6/2022 18:44:05,Sawyer T - soyboy#35469,Krzys H - FaceBeardMcBeard#24731,2-1,,1,
5/6/2022 18:44:26,David R - Roooster#49289,Mike G - eatmecompletely#43399,2-0,,1,Wonderful to play with
5/6/2022 18:46:13,Coleman N - avo#92320,John B - Vexingcarton#71473,2-1,,1,
5/6/2022 18:51:27,Oskar T - ossytubbi#87966,Nicholas K - Bionick#55161,2-1,,1,
5/6/2022 18:55:57,Justin P - Code Pigeon#84057,Chris Y - Yorke on Games#66909,2-0,,1,
5/6/2022 19:01:43,Brian H - Brinbrin#59708,Maranda L - BlackCanary#59791,2-1,,1,
5/6/2022 19:10:38,Brian R - admiral_ace#37121,Damien F - DamienF16#36049,2-1,,1,
5/6/2022 19:34:17,Damien F - DamienF16#36049,Brian H - Brinbrin#59708,2-0,,1,
5/6/2022 19:41:57,Sean Sm - UnknownThursday#95034,Emmett F - Sepulchure#51526,2-0,,1,
5/6/2022 19:49:51,Sawyer T - soyboy#35469,Oskar T - ossytubbi#87966,2-1,,1,
5/6/2022 19:56:30,Sam G - drinsanity#06844,Krzys H - FaceBeardMcBeard#24731,2-1,,1,friday may 6th 730ish pm
5/6/2022 19:57:25,Johnny M - Johnny#69519,Mike G - eatmecompletely#43399,2-1,,1,
5/6/2022 19:58:36,Chris Y - Yorke on Games#66909,Jeffrey W - DraftDude#82061,2-1,,1,Warning--unsportspersonlike conduct
5/6/2022 20:10:11,Ryan D - TheSlickness#10857,Jeremy E - Lhurgoyf#37289,2-1,,1,Feature match! Goku sent me
5/6/2022 20:17:38,Damien F - DamienF16#36049,Shane K - Malfunktion#31013,2-1,,1,
5/6/2022 20:21:31,Damian S - ButCrackMagic#71223,John P - gokuorgohome#51511,2-0,,1,
5/6/2022 20:23:13,David R - Roooster#49289,Gordon C - Chocobro#30910,2-0,,1,Thank you Gordon! GG
5/6/2022 20:30:57,Jakub K - Terrence McKenna#95766,Brian H - Brinbrin#59708,2-0,,1,Big score into Titan t5 is too dirty 
5/6/2022 20:34:58,Justin P - Code Pigeon#84057,Zeke W - smarmyplatapus#30066,2-0,,1,
5/6/2022 20:40:19,Damien F - DamienF16#36049,Sawyer T - soyboy#35469,2-0,,1,
5/6/2022 20:57:08,Shane K - Malfunktion#31013,John P - gokuorgohome#51511,2-0,,1,
5/6/2022 20:57:53,Randy F - Ezrem#08922,Sam G - drinsanity#06844,2-1,,1,830 ish pm fri may 6th
5/6/2022 21:02:01,Calvin Z - extrAme#05753,Marley L - BeautyAndTheGitrog#98732,2-1,,1,
5/6/2022 21:22:27,Joe T - elasticity#07466,Damien F - DamienF16#36049,2-0,,1,
5/6/2022 21:24:10,Maxime R - Tasigurr#89921,Jakub K - Terrence McKenna#95766,2-0,,1,
5/6/2022 21:55:35,Devin L - Dalopi#45146,Nicholas K - Bionick#55161,2-1,,1,
5/6/2022 22:03:38,Joe T - elasticity#07466,Russell S - rstad#89052,2-1,,1,
5/6/2022 22:17:28,John P - gokuorgohome#51511,Steve T - strout#45062,2-1,,1,
5/6/2022 22:40:26,Nik S - njs#50504,Ben A - JankInTheTank#50714,2-1,,1,
5/6/2022 22:51:09,Maxime R - Tasigurr#89921,Brian R - admiral_ace#37121,2-0,,1,
5/6/2022 23:08:10,Jay S - trainyaj#13755,Erika P - CharmToy#24980,2-0,,,Pack Generated manaully
5/6/2022 23:10:57,Chris Y - Yorke on Games#66909,Ben A - JankInTheTank#50714,2-1,,1,Good games!
5/6/2022 23:11:25,Kyle W - EtherEngineer#51748,Sylvain T - Iquitos#15484,2-0,,1,
5/6/2022 23:17:50,Patrick M - FullestJ#22936,Nick B - TheBlackchapel#76998,2-0,,1,
5/6/2022 23:37:16,Joe T - elasticity#07466,Daniel M - HPWizard#40332,2-1,,1,
5/6/2022 23:38:08,John L - fightstrife#66069,Sean Sm - UnknownThursday#95034,2-0,,1,
